source_id,title,concept_name,content,pm_relevance,use_cases,risks_or_misunderstandings,ai_topic,product_topic,difficulty,source_name,source_url,reliability,notes
prompt_005,约束模型不要编造,禁止编造约束,禁止编造约束是指在 Prompt 或系统设计中明确要求模型基于给定资料回答，无法确定时说明不确定或请求补充信息，而不是生成看似合理但没有依据的内容。,AI 产品经理需要把“不要编造”转化为具体产品机制，包括引用溯源、检索置信度、无法回答提示、人工接管、用户反馈和质量评估，而不是只在提示词里写一句限制。,RAG知识库问答、政策问答、医疗/法律/金融问答、JD解析、企业文档助手、客服机器人。,误区是认为一句“不要胡编”就能消除幻觉。幻觉控制需要知识库质量、检索策略、生成约束、引用展示和反馈闭环共同作用。,Prompt,"幻觉控制,可信机制",入门,OpenAI API Docs - Safety best practices,https://developers.openai.com/api/docs/guides/safety-best-practices,high,与RAG幻觉、Guardrails联动。
prompt_006,Prompt 模板化,Prompt Template,Prompt 模板化是把提示词拆成可复用模块，例如角色、任务、输入变量、约束、输出格式、示例和失败处理。模板化让 Prompt 更容易维护、测试、复用和版本管理。,AI 产品经理需要用模板思维管理 Prompt，因为产品上线后会有多个场景入口、不同用户类型和持续迭代需求，不能靠临时手写提示词维持质量。,JD解析模板、能力诊断模板、项目包装模板、面试题生成模板、客服回复模板、Agent规划模板。,误区是把模板写得过长过死。过度复杂的 Prompt 会增加维护成本，也可能压缩用户输入和检索内容空间。模板应围绕任务目标、关键约束和输出格式保持简洁。,Prompt,"流程复用,版本管理",中级,OpenAI API Docs - Prompt engineering,https://developers.openai.com/api/docs/guides/prompt-engineering,high,适合后续做Prompt管理模块。
prompt_007,Prompt 评估与迭代,Prompt评估,Prompt 评估是用一组代表性样例测试模型输出，观察准确性、格式稳定性、覆盖率、用户满意度、成本和失败模式，并据此迭代 Prompt、示例、检索和兜底规则。,AI 产品经理需要把 Prompt 迭代从“主观感觉”变成可观测流程，建立样例集、评分规则和版本记录，避免每次修改后破坏已有场景。,Prompt版本管理、A/B测试、客服回复质量评估、RAG回答评估、面试回答生成、字段抽取质量测试。,误区是只拿一两个问题试效果。真实产品需要覆盖常见问题、边界问题、异常输入和高风险问题，并记录每次迭代前后的指标变化。,Prompt,"AI产品评估,版本迭代",中级,Ragas Docs,https://docs.ragas.io/en/stable/,medium,Ragas等评估框架可作为AI应用评估参考。
rag_001,RAG 是什么,RAG,RAG（Retrieval-Augmented Generation，检索增强生成）是在模型生成回答前，先从外部知识库或向量库检索相关资料，再把检索结果作为上下文提供给 LLM 生成回答的方法。它让模型回答不只依赖预训练知识，而能结合企业文档、岗位资料、政策规则等外部知识。,AI 产品经理需要理解 RAG，因为很多 B 端 AI、知识库问答、客服 Copilot、企业搜索和求职助手都依赖 RAG 解决知识更新、来源可追踪和专业资料问答问题。,企业知识库、AI产品经理求职助手、客服知识库、政策问答、合同/论文阅读、售前资料助手、内部制度问答。,误区是把 RAG 理解成“上传文档给大模型”。真正的 RAG 包含文档清洗、chunk切分、embedding、检索、重排序、Prompt拼接、引用展示、评估和反馈迭代。,RAG,"知识库,引用溯源",入门,OpenAI API Docs - Retrieval,https://developers.openai.com/api/docs/guides/retrieval,high,P0核心知识点。
rag_002,RAG 和普通 Chatbot 的区别,RAG vs Chatbot,普通 Chatbot 主要依赖模型自身知识和当前对话上下文；RAG Chatbot 会先检索外部知识库，再基于检索片段生成回答。RAG 更适合回答动态、私有、专业、需要来源验证的问题。,AI 产品经理需要能判断什么时候该做普通 Chatbot，什么时候必须做 RAG。如果用户问题依赖企业内部文档、岗位库、行业资料或政策规则，RAG 通常更合适。,企业文档助手、客服知识库、求职知识库、行业研究助手、产品手册问答。,误区是认为 RAG 一定比普通 Chatbot 好。若知识库质量差、检索不准、问题偏闲聊或没有外部知识需求，RAG 可能增加复杂度、成本和错误来源。,RAG,"产品形态,知识库",入门,Qdrant RAG Use Case,https://qdrant.tech/rag/,high,面试高频对比题。
rag_003,RAG 基本流程,RAG流程,典型 RAG 流程包括：资料采集与清洗、文档切分为 chunk、生成 embedding、写入向量数据库、根据用户问题检索相关 chunk、可选 rerank 重排序、将检索结果拼入 Prompt、调用 LLM 生成回答、展示引用来源并收集反馈。,AI 产品经理需要能把技术流程转成产品功能模块：知识库管理、检索问答、引用展示、反馈纠错、权限管理和效果评估。,企业知识库问答、政策问答、AI PM求职助手、客服助手、销售资料助手、学习资料问答。,误区是只关注生成模型，而忽略前面的文档质量和检索质量。RAG效果通常由“知识库内容+检索策略+生成约束+评估反馈”共同决定。,RAG,"知识库,检索流程",入门,Qdrant RAG Use Case,https://qdrant.tech/rag/,high,可作为RAG项目架构解释基础。
rag_004,Chunk 文档切分,Chunk,Chunk 是将长文档切分成较小的知识片段，便于 embedding、检索和传入模型。切分可以按段落、标题层级、固定长度、语义单元或业务结构进行，常会设置一定重叠以避免上下文断裂。,AI 产品经理需要理解 chunk，因为它决定知识库检索的粒度和引用质量。切得太大，检索噪声高且成本高；切得太小，语义不完整，回答容易缺上下文。,企业制度、岗位JD、产品手册、FAQ、课程资料、论文、政策文件、会议纪要。,误区是只按固定字数切分。更好的做法是结合文档结构和业务语义，例如 JD 按职责、要求、加分项切分，技术文档按概念、流程、参数和注意事项切分。,RAG,"知识库结构,检索质量",入门,OpenAI API Docs - Retrieval,https://developers.openai.com/api/docs/guides/retrieval,high,与JD库、AI知识库结构化密切相关。
rag_005,Embedding 向量化,Embedding,Embedding 是把文本、图片等内容转换成数值向量，使语义相近的内容在向量空间中距离更近。RAG 中通常会把文档 chunk 和用户问题都转成向量，再进行相似度检索。,AI 产品经理需要理解 embedding 的产品含义：它让用户可以用自然语言搜索相似资料，而不只依赖关键词匹配；也会影响跨语言检索、同义词召回和检索效果。,语义搜索、知识库问答、相似JD匹配、简历与岗位匹配、FAQ召回、推荐系统、聚类分析。,误区是认为 embedding 能理解所有业务规则。Embedding 擅长语义相似，但对精确条件、数值范围、权限、时间和强业务规则仍需关键词检索、过滤器或结构化查询配合。,RAG,"语义检索,向量化",入门,OpenAI API Docs - Vector embeddings,https://developers.openai.com/api/docs/guides/embeddings,high,向量库和RAG基础。
rag_006,向量数据库 Vector DB,Vector DB,向量数据库用于存储向量和相关 metadata，并支持相似度搜索、过滤、索引和高效召回。RAG 中常用它保存文档 chunk 的 embedding、文本内容、来源、标签、权限等信息。,AI 产品经理需要理解向量数据库，因为它决定知识库能否按语义检索、按标签过滤、按权限访问、支持引用溯源和扩展到大量文档。,企业知识库、语义搜索、相似案例检索、推荐、AI客服、求职RAG助手、产品文档问答。,误区是把向量数据库等同于传统关系型数据库。向量库擅长相似度检索，但业务数据、用户记录、权限关系和交易数据仍常需关系型数据库或其他系统配合。,RAG,"知识库,向量数据库",入门,Qdrant Documentation,https://qdrant.tech/documentation/,high,可与Qdrant、Milvus、Pinecone、pgvector等对比。
rag_007,Top-K 检索,Top-K,Top-K 检索是从候选知识片段中返回相似度最高的 K 个结果。K 值越大，召回的信息可能更多，但也更容易引入无关内容并增加 token 成本；K 值过小则可能漏掉关键资料。,AI 产品经理需要理解 Top-K，因为它是影响 RAG 回答质量、成本和速度的重要产品参数。不同场景应有不同 K 值策略，例如 FAQ 可小，复杂报告问答可大。,RAG问答、企业搜索、JD解析、客服知识库、政策问答、合同审查、论文问答。,误区是固定使用一个 K 值解决所有问题。更合理的是根据问题类型、检索置信度、文档长度和用户场景动态调整，并结合 rerank 或过滤策略。,RAG,"检索策略,成本控制",入门,Qdrant Semantic Search 101,https://qdrant.tech/documentation/tutorials-basics/search-beginners/,high,适合RAG检索策略入门。
rag_008,Hybrid Search 混合检索,Hybrid Search,Hybrid Search 通常指结合关键词检索和向量检索。关键词检索适合精确词、编号、专业术语和人名；向量检索适合语义相似和自然语言问题。混合检索可以提升专业场景中的召回稳定性。,AI 产品经理需要懂混合检索，因为真实业务问题常同时包含语义意图和精确条件。例如岗位JD中的“RAG”“Agent”“SQL”等关键词不能只靠语义相似。,企业搜索、法律政策问答、产品手册检索、JD库检索、客服FAQ、技术文档问答。,误区是只用向量检索替代所有搜索。很多场景仍需要关键词、metadata过滤、权限过滤和结构化检索配合。,RAG,"检索策略,关键词检索",中级,Qdrant Semantic Search 101,https://qdrant.tech/documentation/tutorials-basics/search-beginners/,high,适合作为检索优化知识点。
rag_009,Rerank 重排序,Rerank,Rerank 是在初步召回一批候选文档后，使用更精细的相关性模型或规则重新排序，把最有用的片段排到前面。它通常用于提升RAG上下文质量，减少无关chunk进入模型。,AI 产品经理需要理解 rerank 的价值：初步检索负责召回，rerank 负责精排。它可以提升回答准确性，但会增加延迟和成本，需要根据场景取舍。,复杂知识库问答、企业搜索、法律合同、科研文档、客服知识库、长文档RAG。,误区是认为向量相似度最高就一定最相关。真实问题中，语义相似、业务相关、时间有效、权限可见和用户意图匹配是不同维度。,RAG,"检索质量,重排序",中级,Qdrant Semantic Search 101,https://qdrant.tech/documentation/tutorials-basics/search-beginners/,medium,官方文档有检索基础，rerank具体实现可后续补更精确来源。
rag_010,引用溯源,Citation/Source Grounding,引用溯源是在回答中展示参考资料的标题、片段、文档链接或来源编号，让用户能够验证答案依据。RAG 产品中，引用溯源是提升可信度和可审计性的重要机制。,AI 产品经理需要把引用溯源设计成产品功能：引用展示位置、粒度、可点击性、文档权限、片段高亮、来源冲突处理和无来源时的兜底提示。,企业知识库、政策问答、法律合同、论文助手、AI PM求职助手、客服知识库、医疗/金融高风险场景。,误区是只展示几个文档标题就算完成溯源。好的引用需要与回答内容对应，用户能定位到具体片段，并能处理检索不到或来源不一致的情况。,RAG,"用户信任,引用溯源",入门,Dify Docs - LLM node,https://docs.dify.ai/en/use-dify/nodes/llm,high,Dify文档提到通过上下文变量支持带来源归因的RAG应用。
rag_011,RAG 检索失败兜底,检索兜底,RAG 检索失败包括：没有检索到结果、检索结果不相关、结果置信度低、资料冲突、权限不可见或用户问题超出知识库范围。兜底机制是系统在这些情况下避免编造并引导用户下一步操作。,AI 产品经理需要设计兜底话术和流程，例如提示无法确定、展示相关资料、建议补充问题、转人工、创建反馈工单或推荐更合适的入口。,企业知识库、客服机器人、政策问答、求职RAG助手、Agent执行系统。,误区是让模型在没有资料时继续生成“看起来合理”的答案。RAG系统应优先保证可信度，在信息不足时明确说明边界。,RAG,"异常兜底,可信机制",中级,OpenAI API Docs - Safety best practices,https://developers.openai.com/api/docs/guides/safety-best-practices,high,与幻觉控制和引用溯源联动。
rag_012,RAG 幻觉来源,RAG幻觉,RAG 幻觉可能来自知识库内容错误或过时、chunk切分不合理、检索结果不相关、rerank失效、Prompt约束不足、模型忽略上下文或用户问题超出知识库范围。它不是单一模型问题，而是系统链路问题。,AI 产品经理需要从产品链路控制幻觉：保证资料可信、优化检索、要求基于来源回答、展示引用、低置信度兜底、收集用户反馈并持续更新知识库。,企业知识库、客服问答、JD解析、政策问答、AI面试教练、医疗/金融/法律问答。,误区是认为上了RAG就不会幻觉。RAG只是降低幻觉的工程方法之一，错误检索或不相关上下文反而会导致模型生成更有迷惑性的错误答案。,RAG,"幻觉控制,风险控制",中级,OpenAI Cookbook - Developing hallucination guardrails,https://developers.openai.com/cookbook/examples/developing_hallucination_guardrails,high,核心面试题。
rag_013,RAG 产品评估指标,RAG评估,RAG 产品评估通常分为检索质量、回答质量和用户体验三层。检索质量看 Context Precision、Context Recall、Top-K命中率；回答质量看 Answer Relevancy、Faithfulness、准确性和完整性；用户体验看有用率、追问率、问题解决率、引用点击率和满意度。,AI 产品经理需要用这些指标判断问题出在知识库、检索、生成还是交互流程，并把用户反馈纳入持续迭代。,企业知识库评估、客服问答质量、AI PM求职助手评估、RAG A/B测试、模型/检索策略对比。,误区是只看用户觉得回答流畅，忽略回答是否忠实于检索资料；或者只看离线指标，忽略真实用户是否解决问题。,RAG,"AI产品评估,指标设计",中级,Ragas Docs,https://docs.ragas.io/en/stable/,high,Ragas提供LLM应用评估框架，适合做参考。
agent_001,Agent 是什么,Agent,Agent 是能够围绕目标进行任务规划、调用工具、处理中间结果并推进多步任务的 AI 系统。与只生成文本的模型不同，Agent 更强调行动能力、状态管理、工具使用和动态决策。,AI 产品经理需要理解 Agent，因为很多岗位要求设计智能体产品、工具调用链路、任务流程、异常兜底和执行状态展示。Agent 不是简单聊天，而是面向任务完成的产品形态。,AI助手、销售Agent、招聘Agent、数据分析Agent、AI办公助手、客服工单处理、自动化运营、AI Coding工具。,误区是把任何聊天机器人都叫 Agent。真正的 Agent 至少需要目标、状态、工具、执行过程和结果反馈；否则只是普通 Chatbot 或 Workflow。,Agent,"AI产品基础,任务执行",入门,LangChain Docs - Agents,https://docs.langchain.com/oss/python/langchain/agents,high,P0核心知识点。
agent_002,Agent 和 Chatbot 的区别,Agent vs Chatbot,Chatbot 主要通过对话回答问题或生成内容；Agent 更强调围绕目标完成任务，可能需要拆解步骤、查询数据、调用工具、执行动作、处理失败并返回结果。,AI 产品经理需要能区分产品形态：用户只是问答时可以做 Chatbot；用户要完成流程性任务，如查资料、生成方案、提交表单、调用系统，则可能需要 Agent。,客服问答 vs 自动建工单、普通求职问答 vs 自动生成简历方案、普通数据问答 vs 自动拉数分析。,误区是为了显得先进把Chatbot包装成Agent。Agent带来更高成本、延迟和风险，只有任务复杂度和业务价值足够时才值得引入。,Agent,"产品形态,任务完成",入门,LangChain Docs - Agents,https://docs.langchain.com/oss/python/langchain/agents,high,面试常问对比题。
agent_003,Agent 和 Workflow 的区别,Agent vs Workflow,Workflow 是预设路径的流程自动化，步骤和分支通常由人提前设计；Agent 是更动态的目标驱动系统，会根据上下文和中间结果选择工具、调整步骤和处理异常。,AI 产品经理需要根据业务场景选择方案：流程稳定、规则清晰、风险高的任务更适合 Workflow；路径不固定、需要动态判断的任务更适合 Agent。,报销审批、定时同步适合Workflow；复杂调研、数据分析、旅行规划、销售线索处理更可能适合Agent。,误区是认为Agent一定优于Workflow。很多商业场景更需要可控、可审计、低成本的Workflow，而不是高度自由的Agent。,Agent,"Workflow,流程自动化",入门,LangChain Docs - Workflows and agents,https://docs.langchain.com/oss/python/langgraph/workflows-agents,high,LangChain/LangGraph文档明确区分workflows和agents。
agent_004,Planning 任务规划,Planning,Planning 是 Agent 将复杂目标拆解成若干步骤、确定执行顺序并根据结果调整计划的能力。它可以是模型自主规划，也可以是由产品/工程预设的半结构化计划。,AI 产品经理需要设计 Agent 的任务边界和计划可视化：用户能否看到计划、能否确认步骤、失败时是否能重试或人工介入。,研究报告生成、竞品分析、销售跟进、旅行规划、复杂数据分析、多步骤办公自动化。,误区是完全放任模型规划。高风险业务应限制可执行动作、设置确认节点、记录日志并提供回滚机制。,Agent,"任务拆解,执行过程",中级,LangChain Docs - Agents,https://docs.langchain.com/oss/python/langchain/agents,high,可与Tool Use、Workflow联动。
agent_005,Tool Use 工具调用,Tool Use,Tool Use 是让模型或 Agent 调用外部工具来获取信息或执行动作，例如搜索、数据库查询、计算器、CRM、邮件、日历、代码执行或业务 API。,AI 产品经理需要把用户任务拆解为工具能力，定义每个工具能做什么、输入输出是什么、权限边界是什么、失败后如何处理。,销售Agent查CRM、数据Agent跑SQL、客服Agent查订单、求职助手检索JD库、办公Agent发邮件和排日程。,误区是给Agent开放过多工具。工具越多，权限、安全、成本、错误和不可控行为越复杂，应按最小权限原则设计。,Agent,"工具调用,系统集成",中级,LangChain Docs - Tools,https://docs.langchain.com/oss/python/langchain/tools,high,Agent落地核心能力。
agent_006,Function Calling,Function Calling,Function Calling 是模型根据用户意图生成结构化函数调用参数，让应用程序调用外部函数、API或工具，再把结果返回给模型继续处理。它连接自然语言理解与真实系统动作。,AI 产品经理需要理解 Function Calling，因为它是 Agent、Copilot、业务系统集成的关键机制，影响工具设计、参数校验、权限控制、错误处理和用户确认。,查订单、创建工单、调用天气API、生成SQL、查询CRM、写入数据库、触发审批、调用搜索或RAG工具。,误区是认为模型自己执行了函数。通常是模型生成调用意图和参数，真正执行由应用后端完成；因此后端必须做参数验证、权限校验和日志记录。,Agent,"工具调用,API协作",中级,OpenAI API Docs - Function calling,https://developers.openai.com/api/docs/guides/function-calling,high,JD高频关键词。
agent_007,Memory 记忆机制,Memory,Memory 是让 AI 系统在一次会话或跨会话中保留相关信息的机制。短期记忆通常保留当前对话状态，长期记忆可能保存用户偏好、历史事实、任务状态或业务上下文。,AI 产品经理需要设计记忆的价值和边界：记什么、保存多久、用户能否查看和删除、是否需要权限、如何避免错误记忆污染后续回答。,AI陪伴、学习助手、销售Agent、个人助理、长期项目管理、客户服务、个性化推荐。,误区是记得越多越好。记忆涉及隐私、错误累积、用户信任和合规，应该明确可解释、可编辑、可删除和可禁用。,Agent,"用户体验,个性化",中级,LangChain Docs - Memory overview,https://docs.langchain.com/oss/python/concepts/memory,high,AI陪伴和Agent产品重要。
agent_008,Multi-Agent 多智能体,Multi-Agent,Multi-Agent 是让多个具有不同角色或能力的 Agent 协作完成任务，例如一个负责规划、一个负责检索、一个负责生成、一个负责审核。它可提升复杂任务分工，但也增加协调成本。,AI 产品经理需要判断多Agent是否真的必要，并设计角色分工、通信机制、冲突处理、成本控制和用户可见性。,复杂研究报告、代码生成与测试、运营方案生成、销售流程自动化、内容生产流水线、客服多角色协作。,误区是为了概念炫酷引入多Agent。多Agent会带来延迟、成本、可控性和调试难度，简单任务用单Agent或Workflow即可。,Agent,"复杂任务协作,系统设计",中级,LangChain Docs - Agents,https://docs.langchain.com/oss/python/langchain/agents,medium,多Agent产品需谨慎评估。
agent_009,Agent 编排,Agent Orchestration,Agent 编排是组织模型、工具、记忆、工作流、条件分支和执行状态的方式，使 Agent 能按预期完成任务。编排可以通过代码框架，也可以通过低代码平台实现。,AI 产品经理需要理解编排，因为Agent不是单次模型调用，而是由多个节点、工具和状态组成的产品流程。PM需要定义流程、异常、权限、日志和交互节点。,Coze/Dify智能体、LangGraph应用、销售Agent、AI数据分析Agent、自动化办公助手、客服Agent。,误区是把编排等同于画流程图。真实编排还包含状态管理、工具结果处理、失败重试、用户确认和可观测性。,Agent,"Workflow,低代码AI",中级,LangChain Docs - Workflows and agents,https://docs.langchain.com/oss/python/langgraph/workflows-agents,high,与Dify/Coze/n8n等平台相关。
agent_010,Agent 失败原因,Agent失败,Agent 失败可能来自目标不清、工具选择错误、参数生成错误、权限不足、外部系统失败、循环执行、状态丢失、成本超限、检索错误或模型判断偏差。,AI 产品经理需要把失败模式转化为产品设计：执行前确认、步骤可视化、失败提示、重试、回滚、人工接管、日志监控和安全权限。,自动化客服、办公Agent、销售Agent、数据分析Agent、代码Agent、RPA+LLM流程。,误区是只优化模型Prompt而忽视工具和流程。Agent失败往往发生在系统边界：API、权限、数据、异常处理和用户预期管理。,Agent,"异常兜底,风险控制",中级,OpenAI API Docs - Safety in building agents,https://developers.openai.com/api/docs/guides/agent-builder-safety,high,和Agent安全设计相关。
agent_011,Agent 产品评估指标,Agent评估,Agent 产品评估可从任务完成率、成功率、人工接管率、执行时长、工具调用成功率、错误率、用户满意度、成本、可解释性和安全事件等维度衡量。,AI 产品经理需要用指标判断Agent是否真的提升效率，而不是只看演示效果。Agent评估应覆盖离线测试、线上行为数据和用户反馈。,客服Agent、办公Agent、销售Agent、数据分析Agent、自动化运营工具、招聘Agent。,误区是只看模型回答质量。Agent是任务执行系统，还要评估执行过程、动作正确性、用户确认、失败恢复和业务结果。,Agent,"AI产品评估,任务完成率",中级,Ragas Docs,https://docs.ragas.io/en/stable/,medium,Ragas更偏LLM/RAG评估，本条结合AI产品指标进行整理。
